,gene,gene_link,number_of_families,novel_gene,phenotype_class,report_link
49,FLNC,https://mygene2.org/MyGene2/variantsbygene?gene=FLNC,4,,,
50,HSPG2,https://mygene2.org/MyGene2/variantsbygene?gene=HSPG2,4,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=HSPG2
51,IFIH1,https://mygene2.org/MyGene2/variantsbygene?gene=IFIH1,4,,,
52,LAMA2,https://mygene2.org/MyGene2/variantsbygene?gene=LAMA2,4,,,
53,NOTCH1,https://mygene2.org/MyGene2/variantsbygene?gene=NOTCH1,4,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=NOTCH1
54,SALL1,https://mygene2.org/MyGene2/variantsbygene?gene=SALL1,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SALL1
55,SCN1A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN1A,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SCN1A
56,SCN2A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN2A,4,,,
57,SHANK2,https://mygene2.org/MyGene2/variantsbygene?gene=SHANK2,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SHANK2
58,SLC12A2,https://mygene2.org/MyGene2/variantsbygene?gene=SLC12A2,4,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=SLC12A2
59,SRCAP,https://mygene2.org/MyGene2/variantsbygene?gene=SRCAP,4,,,
60,SYNGAP1,https://mygene2.org/MyGene2/variantsbygene?gene=SYNGAP1,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SYNGAP1
61,TMEM231,https://mygene2.org/MyGene2/variantsbygene?gene=TMEM231,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=TMEM231
62,WWOX,https://mygene2.org/MyGene2/variantsbygene?gene=WWOX,4,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=WWOX
63,ZMIZ1,https://mygene2.org/MyGene2/variantsbygene?gene=ZMIZ1,4,Y,"Unexplained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ZMIZ1
64,ANKRD11,https://mygene2.org/MyGene2/variantsbygene?gene=ANKRD11,3,,,
65,ARL13B,https://mygene2.org/MyGene2/variantsbygene?gene=ARL13B,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ARL13B
66,ASXL1,https://mygene2.org/MyGene2/variantsbygene?gene=ASXL1,3,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=ASXL1
67,ATM,https://mygene2.org/MyGene2/variantsbygene?gene=ATM,3,,,
68,ATP1A2,https://mygene2.org/MyGene2/variantsbygene?gene=ATP1A2,3,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=ATP1A2
69,ATP6V0A4,https://mygene2.org/MyGene2/variantsbygene?gene=ATP6V0A4,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ATP6V0A4
70,ATP6V1B1,https://mygene2.org/MyGene2/variantsbygene?gene=ATP6V1B1,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ATP6V1B1
71,AUTS2,https://mygene2.org/MyGene2/variantsbygene?gene=AUTS2,3,,,
72,BMP4,https://mygene2.org/MyGene2/variantsbygene?gene=BMP4,3,,,
73,C2CD3,https://mygene2.org/MyGene2/variantsbygene?gene=C2CD3,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=C2CD3
74,CELSR1,https://mygene2.org/MyGene2/variantsbygene?gene=CELSR1,3,,,
75,CFH,https://mygene2.org/MyGene2/variantsbygene?gene=CFH,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CFH
76,CHRNG,https://mygene2.org/MyGene2/variantsbygene?gene=CHRNG,3,,,
77,CNTNAP1,https://mygene2.org/MyGene2/variantsbygene?gene=CNTNAP1,3,,,
78,COL1A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL1A1,3,,,
79,COL2A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL2A1,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=COL2A1
80,COL3A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL3A1,3,,,
81,COL5A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL5A1,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=COL5A1
82,COL6A2,https://mygene2.org/MyGene2/variantsbygene?gene=COL6A2,3,,,
83,COL6A3,https://mygene2.org/MyGene2/variantsbygene?gene=COL6A3,3,,,
84,CREBBP,https://mygene2.org/MyGene2/variantsbygene?gene=CREBBP,3,,,
85,CUL3,https://mygene2.org/MyGene2/variantsbygene?gene=CUL3,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CUL3
86,DDX3X,https://mygene2.org/MyGene2/variantsbygene?gene=DDX3X,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=DDX3X
87,DMD,https://mygene2.org/MyGene2/variantsbygene?gene=DMD,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=DMD
88,DROSHA,https://mygene2.org/MyGene2/variantsbygene?gene=DROSHA,3,,,
89,ECEL1,https://mygene2.org/MyGene2/variantsbygene?gene=ECEL1,3,,,
90,FREM2,https://mygene2.org/MyGene2/variantsbygene?gene=FREM2,3,,,
91,FSD1L,https://mygene2.org/MyGene2/variantsbygene?gene=FSD1L,3,,,
92,GLB1,https://mygene2.org/MyGene2/variantsbygene?gene=GLB1,3,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=GLB1
93,GRIN2A,https://mygene2.org/MyGene2/variantsbygene?gene=GRIN2A,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=GRIN2A
94,KCNQ2,https://mygene2.org/MyGene2/variantsbygene?gene=KCNQ2,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KCNQ2
95,KIF1A,https://mygene2.org/MyGene2/variantsbygene?gene=KIF1A,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KIF1A
96,KIF7,https://mygene2.org/MyGene2/variantsbygene?gene=KIF7,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KIF7
97,KMT2A,https://mygene2.org/MyGene2/variantsbygene?gene=KMT2A,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KMT2A
98,KMT2B,https://mygene2.org/MyGene2/variantsbygene?gene=KMT2B,3,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=KMT2B
99,KMT2C,https://mygene2.org/MyGene2/variantsbygene?gene=KMT2C,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=KMT2C
100,LAMA5,https://mygene2.org/MyGene2/variantsbygene?gene=LAMA5,3,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=LAMA5
101,LAS1L,https://mygene2.org/MyGene2/variantsbygene?gene=LAS1L,3,,,
102,MACF1,https://mygene2.org/MyGene2/variantsbygene?gene=MACF1,3,,,
103,MECR,https://mygene2.org/MyGene2/variantsbygene?gene=MECR,3,,,
104,MN1,https://mygene2.org/MyGene2/variantsbygene?gene=MN1,3,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=MN1
105,MTHFR,https://mygene2.org/MyGene2/variantsbygene?gene=MTHFR,3,,,
106,NACC1,https://mygene2.org/MyGene2/variantsbygene?gene=NACC1,3,,,
107,NLRP3,https://mygene2.org/MyGene2/variantsbygene?gene=NLRP3,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=NLRP3
108,NPHP4,https://mygene2.org/MyGene2/variantsbygene?gene=NPHP4,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=NPHP4
109,PKD2,https://mygene2.org/MyGene2/variantsbygene?gene=PKD2,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PKD2
110,PKHD1,https://mygene2.org/MyGene2/variantsbygene?gene=PKHD1,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PKHD1
111,PLXNA3,https://mygene2.org/MyGene2/variantsbygene?gene=PLXNA3,3,,,
112,PLXNB3,https://mygene2.org/MyGene2/variantsbygene?gene=PLXNB3,3,,,
113,PUM1,https://mygene2.org/MyGene2/variantsbygene?gene=PUM1,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=PUM1
114,RELN,https://mygene2.org/MyGene2/variantsbygene?gene=RELN,3,,,
115,SCN11A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN11A,3,,,
116,SCN4A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN4A,3,,,
117,SCN8A,https://mygene2.org/MyGene2/variantsbygene?gene=SCN8A,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SCN8A
118,SCNN1A,https://mygene2.org/MyGene2/variantsbygene?gene=SCNN1A,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SCNN1A
119,SETD1B,https://mygene2.org/MyGene2/variantsbygene?gene=SETD1B,3,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=SETD1B
120,SLC52A2,https://mygene2.org/MyGene2/variantsbygene?gene=SLC52A2,3,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=SLC52A2
121,SLC7A9,https://mygene2.org/MyGene2/variantsbygene?gene=SLC7A9,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SLC7A9
122,SMARCA4,https://mygene2.org/MyGene2/variantsbygene?gene=SMARCA4,3,,,
123,SOX5,https://mygene2.org/MyGene2/variantsbygene?gene=SOX5,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=SOX5
124,SPG11,https://mygene2.org/MyGene2/variantsbygene?gene=SPG11,3,,,
125,SPINK5,https://mygene2.org/MyGene2/variantsbygene?gene=SPINK5,3,,,
126,SYNCRIP,https://mygene2.org/MyGene2/variantsbygene?gene=SYNCRIP,3,,,
127,TANC2,https://mygene2.org/MyGene2/variantsbygene?gene=TANC2,3,,,
128,TELO2,https://mygene2.org/MyGene2/variantsbygene?gene=TELO2,3,,,
129,TPP1,https://mygene2.org/MyGene2/variantsbygene?gene=TPP1,3,,,
130,TSC2,https://mygene2.org/MyGene2/variantsbygene?gene=TSC2,3,,,
131,UMOD,https://mygene2.org/MyGene2/variantsbygene?gene=UMOD,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=UMOD
132,USP7,https://mygene2.org/MyGene2/variantsbygene?gene=USP7,3,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=USP7
133,AARS2,https://mygene2.org/MyGene2/variantsbygene?gene=AARS2,2,,,
134,ABCC6,https://mygene2.org/MyGene2/variantsbygene?gene=ABCC6,2,,,
135,ABHD16B,https://mygene2.org/MyGene2/variantsbygene?gene=ABHD16B,2,,,
136,ACTA2,https://mygene2.org/MyGene2/variantsbygene?gene=ACTA2,2,,,
137,ACTG2,https://mygene2.org/MyGene2/variantsbygene?gene=ACTG2,2,N,"Unexplained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ACTG2
138,ADAMTS10,https://mygene2.org/MyGene2/variantsbygene?gene=ADAMTS10,2,,,
139,ADCK4,https://mygene2.org/MyGene2/variantsbygene?gene=ADCK4,2,,,
140,ADCY5,https://mygene2.org/MyGene2/variantsbygene?gene=ADCY5,2,,,
141,AGO3,https://mygene2.org/MyGene2/variantsbygene?gene=AGO3,2,,,
142,AGRN,https://mygene2.org/MyGene2/variantsbygene?gene=AGRN,2,N,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=AGRN
143,AHDC1,https://mygene2.org/MyGene2/variantsbygene?gene=AHDC1,2,,,
144,AKAP6,https://mygene2.org/MyGene2/variantsbygene?gene=AKAP6,2,,,
145,ALG14,https://mygene2.org/MyGene2/variantsbygene?gene=ALG14,2,,,
146,ALG3,https://mygene2.org/MyGene2/variantsbygene?gene=ALG3,2,,,
147,ALMS1,https://mygene2.org/MyGene2/variantsbygene?gene=ALMS1,2,,,
148,ARF1,https://mygene2.org/MyGene2/variantsbygene?gene=ARF1,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=ARF1
149,ARHGEF15,https://mygene2.org/MyGene2/variantsbygene?gene=ARHGEF15,2,,,
150,ARID1B,https://mygene2.org/MyGene2/variantsbygene?gene=ARID1B,2,,,
151,ARIH1,https://mygene2.org/MyGene2/variantsbygene?gene=ARIH1,2,,,
152,ASPM,https://mygene2.org/MyGene2/variantsbygene?gene=ASPM,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=ASPM
153,ATAD3B,https://mygene2.org/MyGene2/variantsbygene?gene=ATAD3B,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=ATAD3B
154,ATP1A3,https://mygene2.org/MyGene2/variantsbygene?gene=ATP1A3,2,,,
155,ATP7A,https://mygene2.org/MyGene2/variantsbygene?gene=ATP7A,2,,,
156,B9D1,https://mygene2.org/MyGene2/variantsbygene?gene=B9D1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=B9D1
157,B9D2,https://mygene2.org/MyGene2/variantsbygene?gene=B9D2,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=B9D2
158,BCL11A,https://mygene2.org/MyGene2/variantsbygene?gene=BCL11A,2,,,
159,BEST3,https://mygene2.org/MyGene2/variantsbygene?gene=BEST3,2,Y,Novel phenotype,https://mygene2.org/MyGene2/matchreport?q=BEST3
160,BICD2,https://mygene2.org/MyGene2/variantsbygene?gene=BICD2,2,,,
161,C10ORF2,https://mygene2.org/MyGene2/variantsbygene?gene=C10ORF2,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=C10ORF2
162,C10orf76,https://mygene2.org/MyGene2/variantsbygene?gene=C10orf76,2,,,
163,C3,https://mygene2.org/MyGene2/variantsbygene?gene=C3,2,,,
164,CACNA1A,https://mygene2.org/MyGene2/variantsbygene?gene=CACNA1A,2,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=CACNA1A
165,CACNA1C,https://mygene2.org/MyGene2/variantsbygene?gene=CACNA1C,2,,,
166,CAMK2B,https://mygene2.org/MyGene2/variantsbygene?gene=CAMK2B,2,,,
167,CAMSAP1,https://mygene2.org/MyGene2/variantsbygene?gene=CAMSAP1,2,,,
168,CAPN2,https://mygene2.org/MyGene2/variantsbygene?gene=CAPN2,2,,,
169,CAV1,https://mygene2.org/MyGene2/variantsbygene?gene=CAV1,2,,,
170,CDH2,https://mygene2.org/MyGene2/variantsbygene?gene=CDH2,2,,,
171,CFI,https://mygene2.org/MyGene2/variantsbygene?gene=CFI,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CFI
172,CHD3,https://mygene2.org/MyGene2/variantsbygene?gene=CHD3,2,,,
173,CIC,https://mygene2.org/MyGene2/variantsbygene?gene=CIC,2,,,
174,CLCN4,https://mygene2.org/MyGene2/variantsbygene?gene=CLCN4,2,,,
175,CLCN5,https://mygene2.org/MyGene2/variantsbygene?gene=CLCN5,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CLCN5
176,CLCNKB,https://mygene2.org/MyGene2/variantsbygene?gene=CLCNKB,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CLCNKB
177,CLTC,https://mygene2.org/MyGene2/variantsbygene?gene=CLTC,2,,,
178,CNOT3,https://mygene2.org/MyGene2/variantsbygene?gene=CNOT3,2,,,
179,COL4A2,https://mygene2.org/MyGene2/variantsbygene?gene=COL4A2,2,,,
180,COL4A3,https://mygene2.org/MyGene2/variantsbygene?gene=COL4A3,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=COL4A3
181,CSNK2A1,https://mygene2.org/MyGene2/variantsbygene?gene=CSNK2A1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CSNK2A1
182,CTCF,https://mygene2.org/MyGene2/variantsbygene?gene=CTCF,2,,,
183,CTNNB1,https://mygene2.org/MyGene2/variantsbygene?gene=CTNNB1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=CTNNB1
184,DAGLA,https://mygene2.org/MyGene2/variantsbygene?gene=DAGLA,2,,,
185,DALRD3,https://mygene2.org/MyGene2/variantsbygene?gene=DALRD3,2,,,
186,DARS,https://mygene2.org/MyGene2/variantsbygene?gene=DARS,2,,,
187,DBH,https://mygene2.org/MyGene2/variantsbygene?gene=DBH,2,,,
188,DCC,https://mygene2.org/MyGene2/variantsbygene?gene=DCC,2,,,
189,DHDDS,https://mygene2.org/MyGene2/variantsbygene?gene=DHDDS,2,,,
190,DNAJC13,https://mygene2.org/MyGene2/variantsbygene?gene=DNAJC13,2,,,
191,DOCK8,https://mygene2.org/MyGene2/variantsbygene?gene=DOCK8,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=DOCK8
192,DOHH,https://mygene2.org/MyGene2/variantsbygene?gene=DOHH,2,,,
193,EHMT1,https://mygene2.org/MyGene2/variantsbygene?gene=EHMT1,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=EHMT1
194,EP300,https://mygene2.org/MyGene2/variantsbygene?gene=EP300,2,,,
195,EVC2,https://mygene2.org/MyGene2/variantsbygene?gene=EVC2,2,,,
196,EYA1,https://mygene2.org/MyGene2/variantsbygene?gene=EYA1,2,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=EYA1
197,FAM179B,https://mygene2.org/MyGene2/variantsbygene?gene=FAM179B,2,,,
198,FAM186A,https://mygene2.org/MyGene2/variantsbygene?gene=FAM186A,2,,,
199,FBXL4,https://mygene2.org/MyGene2/variantsbygene?gene=FBXL4,2,,,
200,FBXO11,https://mygene2.org/MyGene2/variantsbygene?gene=FBXO11,2,,,
201,FGFR1,https://mygene2.org/MyGene2/variantsbygene?gene=FGFR1,2,N,Phenotype expansion,https://mygene2.org/MyGene2/matchreport?q=FGFR1
202,FLG,https://mygene2.org/MyGene2/variantsbygene?gene=FLG,2,,,
203,FN1,https://mygene2.org/MyGene2/variantsbygene?gene=FN1,2,,,
204,FOXP1,https://mygene2.org/MyGene2/variantsbygene?gene=FOXP1,2,,,
205,FOXRED1,https://mygene2.org/MyGene2/variantsbygene?gene=FOXRED1,2,,,
206,FRMD7,https://mygene2.org/MyGene2/variantsbygene?gene=FRMD7,2,,,
207,GABRB3,https://mygene2.org/MyGene2/variantsbygene?gene=GABRB3,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=GABRB3
208,GALT,https://mygene2.org/MyGene2/variantsbygene?gene=GALT,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=GALT
209,GLE1,https://mygene2.org/MyGene2/variantsbygene?gene=GLE1,2,,,
210,GMPPB,https://mygene2.org/MyGene2/variantsbygene?gene=GMPPB,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=GMPPB
211,GNB1,https://mygene2.org/MyGene2/variantsbygene?gene=GNB1,2,,,
212,GRIK4,https://mygene2.org/MyGene2/variantsbygene?gene=GRIK4,2,,,
213,GRK2,https://mygene2.org/MyGene2/variantsbygene?gene=GRK2,2,,,
214,GUCY1A3,https://mygene2.org/MyGene2/variantsbygene?gene=GUCY1A3,2,N,"Explained, known phenotype",https://mygene2.org/MyGene2/matchreport?q=GUCY1A3
215,HUWE1,https://mygene2.org/MyGene2/variantsbygene?gene=HUWE1,2,,,
216,IBA57,https://mygene2.org/MyGene2/variantsbygene?gene=IBA57,2,,,
217,IFT140,https://mygene2.org/MyGene2/variantsbygene?gene=IFT140,2,N,,https://mygene2.org/MyGene2/matchreport?q=IFT140
